Timestamp;Peer;Received;Source;Payload
2023-04-14 12:15:17.128000;P1;HELLO;P2;{"Message": "HELLO", "Peer": "P2"}
2023-04-14 12:15:18.137000;P1;LSA;P2;{"RID": "P2", "Port": 5002, "Neighbours": 1, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:22.367000;P1;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467322330", "Route": [], "Path": ["P2", "P1"]}
2023-04-14 12:15:23.338000;P1;HELLO;P3;{"Message": "HELLO", "Peer": "P3"}
2023-04-14 12:15:24.341000;P1;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 1, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:25.367000;P1;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 1, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:25.843000;P1;LSA;P2;{"RID": "P2", "Port": 5002, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:26.846000;P1;LSA;P2;{"RID": "P2", "Port": 5002, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:26.846000;P1;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 1, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:28.851000;P1;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467326255, "HBresp": 1681467326888}
2023-04-14 12:15:28.851000;P1;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:29.854000;P1;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 4, "ID": "P3_1681467327337", "Route": [], "Path": ["P3", "P1"]}
2023-04-14 12:15:29.854000;P1;HB;P2;{"Message": "HB", "RID": "P2", "HBref": 1681467326255, "HBresp": 1681467327817}
2023-04-14 12:15:29.854000;P1;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:31.859000;P1;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:31.859000;P1;HB;P2;{"Message": "HB", "RID": "P2", "HBref": 1681467331238, "HBresp": 0}
2023-04-14 12:15:31.859000;P1;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467331341", "Route": [], "Path": ["P2", "P1"]}
2023-04-14 12:15:34.065000;P1;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467334003", "Route": [], "Path": ["P4", "P2", "P1"]}
2023-04-14 12:15:35.379000;P1;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467335312, "HBresp": 0}
2023-04-14 12:15:36.417000;P1;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 4, "ID": "P3_1681467336350", "Route": [], "Path": ["P3", "P1"]}
2023-04-14 12:15:40.427000;P1;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467340352", "Route": [], "Path": ["P2", "P1"]}
2023-04-14 12:15:41.351000;P1;HB;P2;{"Message": "HB", "RID": "P2", "HBref": 1681467341272, "HBresp": 1681467341324}
2023-04-14 12:15:41.381000;P1;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467341272, "HBresp": 1681467341320}
2023-04-14 12:15:44.074000;P1;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467344014", "Route": [], "Path": ["P4", "P2", "P1"]}
2023-04-14 12:15:46.282000;P1;HB;P2;{"Message": "HB", "RID": "P2", "HBref": 1681467346254, "HBresp": 0}
2023-04-14 12:15:46.424000;P1;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 4, "ID": "P3_1681467346361", "Route": [], "Path": ["P3", "P1"]}
2023-04-14 12:15:50.080000;P1;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467350020", "Route": [], "Path": ["P4", "P2", "P1"]}
