Timestamp;Offset;Event;Path
2023-02-19 21:16:09.053479;74;"LOOKUP RECEIVED";P4-P2
2023-02-19 21:16:09.924810;75;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:16:11.139135;76;"LOOKUP SENT";P3-P2
2023-02-19 21:16:11.139598;76;"LOOKUP SENT";P3-P4
2023-02-19 21:16:11.140027;76;"LOOKUP SENT";P3-P1
2023-02-19 21:16:12.014949;77;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:16:12.922790;78;"LOOKUP SENT";P1-P4
2023-02-19 21:16:12.923313;78;"LOOKUP SENT";P1-P2
2023-02-19 21:16:12.923656;78;"LOOKUP SENT";P1-P3
2023-02-19 21:16:12.967877;78;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:16:13.078274;78;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:16:13.078407;78;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:16:13.128685;78;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:16:13.431683;79;"LOOKUP SENT";P2-P4
2023-02-19 21:16:13.433097;79;"LOOKUP SENT";P2-P3
2023-02-19 21:16:13.434042;79;"LOOKUP SENT";P2-P1
2023-02-19 21:16:13.537388;79;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:16:13.556936;79;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:16:13.871043;79;"LOOKUP SENT";P4-P3
2023-02-19 21:16:13.871596;79;"LOOKUP SENT";P4-P1
2023-02-19 21:16:13.871913;79;"LOOKUP SENT";P4-P2
2023-02-19 21:16:13.969233;79;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:16:14.049393;79;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:16:20.443083;86;"LOOKUP SENT";P2-P4
2023-02-19 21:16:20.444386;86;"LOOKUP SENT";P2-P3
2023-02-19 21:16:20.444796;86;"LOOKUP SENT";P2-P1
2023-02-19 21:16:20.935259;86;"LOOKUP SENT";P1-P4
2023-02-19 21:16:20.936968;86;"LOOKUP SENT";P1-P2
2023-02-19 21:16:20.938261;86;"LOOKUP SENT";P1-P3
2023-02-19 21:16:20.990457;86;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:16:21.159877;86;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:16:21.232050;86;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:16:21.257529;86;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:16:22.230038;87;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:16:22.344692;88;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:16:23.886311;89;"LOOKUP SENT";P4-P3
2023-02-19 21:16:23.886811;89;"LOOKUP SENT";P4-P1
2023-02-19 21:16:23.887257;89;"LOOKUP SENT";P4-P2
2023-02-19 21:16:23.961654;89;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:16:24.060700;89;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:16:24.155202;89;"LOOKUP SENT";P3-P2
2023-02-19 21:16:24.156581;89;"LOOKUP SENT";P3-P4
2023-02-19 21:16:24.157490;89;"LOOKUP SENT";P3-P1
2023-02-19 21:16:24.219532;89;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:16:24.244934;89;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:16:24.247339;89;"LOOKUP RECEIVED";P3-P2
