Timestamp;Peer;Received;Source;Payload
2023-04-14 12:16:01.356000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467361271, "HBresp": 1681467361304}
2023-04-14 12:16:03.069000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467363037", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:16:03.378000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467363376", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:09.078000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467369045", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:16:09.562000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467369532, "HBresp": 0}
2023-04-14 12:16:10.386000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467370384", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:11.349000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 2, "FLAG": 0, "RP": []}
2023-04-14 12:16:11.386000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467371305, "HBresp": 0}
2023-04-14 12:16:11.604000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 3, "FLAG": 1}
2023-04-14 12:16:12.606000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 3, "FLAG": 1}
2023-04-14 12:16:15.082000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467375052", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:16:16.411000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467376399", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:16.454000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467376289, "HBresp": 1681467376370}
2023-04-14 12:16:17.465000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467376289, "HBresp": 1681467376394}
